Judul Berita,PC1_2D,PC2_2D,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
Cara Sederhana Mengontrol Tekanan Darah Tinggi Tanpa Obat,0.17538339297045547,0.018000088738157047,0.17538339297045547,0.018000088738157047,0.06368214409592722,0.16714483709194133,-0.10373890320799753,0.2845422739283213,-0.3079301113539845,0.19236144511717057,-0.12625224280896943,0.1908534062189638,0.0822139735800283,-0.20387081389580328,0.034724705782699,-0.30685399273687486,-0.10549055303012524,0.16145822321954578,0.11704961627611536,-0.17106688500407302,-0.12843145641200115,0.013254835845163411,0.13211368591410064,0.35258648638035367,0.2556976146554089,-0.12764106072925255,0.21072339085636813,-0.1304560200093106,-0.05059925786951853,0.016565336847414673,-0.05272667108823602,0.035612493641592954,-0.23575964163260124,0.15416419359099562,0.03812264300395221,0.09127859625257434,-0.03458182242114409
Penelitian Baru Kaitkan Polusi Udara dengan Gangguan Paru-paru,-0.15162668013710842,0.03124654493914651,-0.15162668013710842,0.03124654493914651,0.0699724057227634,0.23906298785918947,0.35975002306640785,-0.26896388131101234,-0.08451066386312535,0.27046577397473137,-0.07496058623805817,0.282613287175757,-0.1408222972892834,0.24245699493264308,-0.09974744759318623,0.26882442967067094,-0.16960761833039253,-0.019303672781670583,-0.14419634862486233,0.035962111345164756,-0.01858672893669556,-0.24002555160099276,0.18116995752674464,-0.03229216714622671,0.16348863141943717,-0.07129200929042902,0.04568860424717865,-0.00163448851304122,-0.04010307482312679,-0.02355455022992739,0.02507991799660097,-0.07134753921804558,-0.04095708997769244,0.055038658308624686,0.23452587828235974,-0.03264204450147068,0.2059317829261662
"Waspada Gejala Awal Stroke, Kenali Sebelum Terlambat",0.4897201905276219,-0.23603074219225628,0.4897201905276219,-0.23603074219225628,0.022079699851292555,-0.0062019158564515,0.11555882830718628,-0.16719500768743725,0.01796714878697699,-0.08561000836372507,0.04969269596637086,-0.19167301122004868,-0.20418198815355995,-0.048347534754469144,-0.030227294303687067,0.04928327271628559,0.08483887863294026,0.023777127643989343,0.07012668535179953,0.14266375692971545,0.008313051287009779,-0.08762575179590795,-0.04201929256972486,0.04240956831253798,0.013781681744705147,-0.01362813818535447,-0.015273098574537528,0.11283780733428683,0.4229577184404589,-0.3778272319273556,-0.053021778578932366,-0.17510629884995302,-0.2984011750769414,0.08653072229936146,-0.03454879673733189,-0.03631140660758017,-0.04146209183190397
Manfaat Olahraga Pagi bagi Kesehatan Jantung dan Paru,-0.3808886450628334,-0.1607290459768479,-0.3808886450628334,-0.1607290459768479,0.14734750347376768,0.08355791809591942,0.3164154598579578,-0.14299688592852622,-0.02990932262550932,0.06393288045400934,-0.1278437237309579,-0.06581542414302109,-0.12257434244644388,-0.22736256764722737,0.07848894620804811,0.21427459729042753,-0.21181443854630685,-0.16212268263481322,-0.014176043939832026,-0.08318025005315319,-0.08022542065665844,0.07272282150328951,-0.049839755564333454,0.19077837729356517,0.2075824964147958,0.0360469488679053,-0.08398638629340884,-0.02874793240577511,0.041435456557771755,-0.016810772463562194,-0.15583252953255314,-0.11765205982900262,0.15352632792551196,-0.19033699788182284,-0.19927387535263286,-0.0542758609886602,-0.11226084964471289
IDAI Imbau Orang Tua Lengkapi Imunisasi Dasar Anak,0.04426280113616623,0.1616940850450159,0.04426280113616623,0.1616940850450159,-0.08317017728489093,-0.07229852918112174,0.011599334572923599,0.13587772940427323,-0.009756865611498538,-0.02500039332364029,0.03102945922296582,-0.02474088032350292,0.037298005668295844,-0.045589897098447255,0.025473585127775773,0.4644775344627047,0.20124116697840777,0.5265117708657332,-0.37602284987489476,-0.3365667572982377,-0.09593338825490771,-0.06140307353310522,-0.2043340719911954,0.1829259939243066,-0.1702879651957289,0.0028653038439137176,0.024182447017574514,0.0080005693799471,0.06836645010870679,0.0404804029585618,-0.03973292166620634,0.028672489877649743,0.024051337273478652,0.005639366388152454,0.012003195009553439,-6.288899747972257e-05,-0.012853541881273897
Kenali Gejala Asam Lambung Naik dan Cara Mengatasinya,0.5028886182827138,-0.30733760634773527,0.5028886182827138,-0.30733760634773527,0.021789599679011767,0.1587320605319076,-0.04632334439363957,0.03187773261222953,0.07001037657322887,0.2753660773454436,-0.05257562842125192,-0.13222743439597942,0.07107128998777873,-0.13247448876307005,0.17134969691950683,0.07452592989409444,0.04921779936244538,-0.1602187399665964,-0.1010947881036772,0.012501735509739138,-0.21689328872837702,-0.03018558289616746,-0.008549215987043944,-0.12402550939277408,-0.009543707348479018,-0.08449878982424418,0.04226347795351081,-0.027535939869651468,-0.17191359600442246,-0.1634874198705703,0.009571667087575331,0.13012313440639506,0.3424491906468459,0.06976327091679178,0.028197631921731393,0.05218660649969692,0.04814194371858651
Studi: Konsumsi Gula Berlebih Tingkatkan Risiko Obesitas Anak,-0.019117615658099756,0.4131008177357582,-0.019117615658099756,0.4131008177357582,-0.15822918639378802,0.2833799288140253,-0.08249234634935376,0.09470518048653884,0.22869563322802686,-0.22713894045794786,-0.02018293396263612,-0.13415078944487616,-0.11773008062764344,-0.010043655529381051,0.189077088665615,-0.04735876871742686,0.23385848002300044,-0.17099557444302135,-0.020654008572880987,-0.09787177682636813,0.19937413303891655,-0.08142522066348164,-0.03795475998737952,-0.0734942950231046,0.1760832838395675,-0.003641520224871939,0.11747187704840613,-0.022810997182656972,-0.09108476274749035,-0.06801273338070003,-0.211479640088911,-0.11963993718055145,0.05726853616576034,0.03382525132963174,0.2976395075941105,-0.16025237553246408,-0.09408027665387109
Pentingnya Skrining Kesehatan Rutin untuk Deteksi Dini Kanker,-0.20523969383543547,-0.08937825656574597,-0.20523969383543547,-0.08937825656574597,0.44351043460393524,-0.2833938286653103,-0.17611995779984108,0.06379800131450145,0.18132117215991764,0.03987781159076785,-0.001347871168956653,0.061571690981569095,-0.13028665160906477,0.11452240345309997,0.04579292284667698,-0.14135039572590982,0.2472352235691606,0.09511840377771424,-0.09249860687463221,0.2709956075316848,-0.15860682541148896,-0.13314121207686655,-0.022658910717980183,0.11469785504739678,0.10206509872601965,-0.05955150236130272,0.04198985134193247,0.1793529210064904,-0.10396042624509637,0.01839513927459504,0.1341709116622405,-0.10754588036758349,0.09811147903702754,0.036727285375726684,0.12260417483573409,0.007659022106455139,-0.3443213154024895
Dokter Bagikan Tips Menjaga Kualitas Tidur yang Baik,-0.10066828594843327,-0.002292875417873227,-0.10066828594843327,-0.002292875417873227,-0.3840745814344807,-0.041838584965023254,-0.3821668892464435,-0.24282542137710753,0.13288621759132555,0.02841464205477697,-0.08427672255988154,-0.0583270567149475,0.03693094241858992,-0.02761084204868625,-0.22448169383973607,-0.09722165521494318,-0.35518050452455463,0.09242992209919869,-0.04721966457094323,0.1053335557288161,-0.23010153266971284,-0.051059620782954694,0.08729764211430294,0.06450307051087581,-0.10375657262093496,0.05519690111831328,-0.02962704869559492,0.014977898851568732,0.1866271410357934,0.051483476880828785,0.10659497091384161,0.2292690781133043,0.02362040545173757,-0.008649063415685809,0.11431050309478238,-0.19277674585884783,-0.14273923697821708
"Kasus Hepatitis Akut pada Anak, Ini Penjelasan Kemenkes",0.16186642629222844,0.25812219949537674,0.16186642629222844,0.25812219949537674,-0.0432706497934812,-0.3328078839517238,0.1054224992535937,0.00955212086365034,0.02063638771061403,-0.26228467026776203,0.11111134616774683,0.3147998176928283,0.2518488975436341,-0.04613131622595009,0.07565799172743665,0.1556253421740873,-0.04587238304874431,-0.2542324628423345,-0.1319868239826182,-0.10902011889803599,-0.1719693280900249,0.13517680910639876,0.09524770870150646,-0.08470367936373444,0.17837545098597996,0.03567466113649792,-0.2197449736214632,-0.046006683014927593,-0.13931970567079976,-0.06875776670932893,0.07142697130394929,0.00025765225503839175,-0.14732554750332888,0.2170065191933129,-0.16445166558266675,-0.23225381672422807,-0.12977684192240943
Manfaat Air Putih bagi Metabolisme Tubuh Menurut Ahli,-0.1547154641626243,-0.1093310768384514,-0.1547154641626243,-0.1093310768384514,0.010173232311329182,0.03937789466042991,0.2263686050830633,0.17930493409707066,-0.1802142259110687,-0.18147318315147556,-0.04086698729106567,-0.41338096261703505,0.3659348839511911,0.036316035863701635,-0.17187448517642273,-0.01243522346858483,-0.007381716865209386,-0.1393357885629937,-0.12888344847067765,0.11288634977145792,0.01713567780129311,-0.1202809024384726,0.23837348674263023,0.23233631117884654,-0.26134985224297586,-0.1879099521668618,-0.1337598897438352,0.003908640542575802,-0.20585089535778198,-0.08199371858773787,-0.02676595362118223,-0.031660899012117306,-0.14429818313177556,-0.21191725640255857,0.11234056613343046,-0.044512227673458735,-0.031269204270783925
Rutin Cek Kolesterol Penting untuk Cegah Penyakit Jantung,-0.12650491632044444,0.04802637289154383,-0.12650491632044444,0.04802637289154383,0.5360124487054023,-0.10076161273311952,-0.21792446320534534,-0.03433203301880784,0.1995014285063648,0.07300244248173342,-0.12154197398183564,-0.16409489296465773,-0.1187051057270259,-0.06721415388955213,-0.06880981551390251,0.09059771604815614,-0.12878195049830488,-0.044166309450631935,0.04714850390900016,-0.15072775221396437,0.15396418935250658,0.27049006359611605,-0.02846796070584923,0.15003636815952856,-0.04759171021641048,-0.057522188308602965,-0.08200534233109079,0.13995815886773255,-0.06709333709026893,-0.0491371805431648,0.3557695373112827,-0.10825716776221725,-0.01976958840128391,0.14103776282636524,0.0310520382066392,-0.003777736928810178,0.2188589690170429
"Anak Sering Batuk Pilek, Kapan Harus Dibawa ke Dokter",0.017779849191015343,0.2404685508503761,0.017779849191015343,0.2404685508503761,-0.2214751774357034,-0.17471920252209736,0.013979271371881706,0.027867008479753257,0.029499218800528366,0.18408364774477842,0.0017121972986643274,-0.0774396442883021,0.04602320890004429,-0.1078664254339998,0.07471561806979721,0.17590681489236726,-0.005374666660345758,0.23674136958894365,-0.05985932900145204,0.47868245717442154,0.15403886651708618,0.47815666872487156,0.3129104989077169,-0.05372412426476582,0.039696002301467685,-0.07753839712670806,0.19562538124450898,-0.09148166661837633,0.030278039707664166,0.03397146455826795,-0.08498664222927127,-0.13131720929390772,0.07386337136931241,-0.008844315870047227,-0.03461037063400086,-0.009093637277061316,0.02071436811000722
Pakar Sebut Stres Berkepanjangan Bisa Pengaruhi Imun Tubuh,-0.026423682024492728,0.010046081065481579,-0.026423682024492728,0.010046081065481579,-0.004820853961103178,-0.04916816136780252,0.1493931389014066,0.027907703035523115,-0.17237181329417448,0.08300996632671696,-0.14893679817580044,-0.31568625237879877,0.3041561794499936,0.2433930846553088,-0.5074268763503408,-0.19181261841760838,0.23790336799766393,-0.004205573018870723,-0.12535543432430085,-0.12889973851454914,-0.04634549010429866,0.18778292387921838,-0.16953283333548813,-0.24708856013951808,0.2851895322957416,0.09472469334915977,0.081944265047617,-0.003539819677673477,0.07724800664222364,0.007114226872699088,0.046773298750814776,-0.034859231451609456,0.05019183638239742,0.07973591005843658,-0.02821619136962933,0.024227712236309568,0.042960856083806793
